transcript,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11
metagov-seminar-yanomami-zeugh.transcription,0.11436243490982909,0.0024547890701115513,0.009277800058037885,0.006756011667012559,0.0,0.044478537743352094,0.0006721891050592748,0.033016580013363,0.10318000864744716,0.048232516201380936,0.0,0.013569900169941427
metagov-shorttalks-20230405.transcription,0.0,0.03801744105487139,0.08004818166576982,0.018109116674409027,0.0,0.2899744009332459,0.0016612259205246297,0.012685007376357634,0.06647692662850027,0.0,0.003124864894650272,0.0
metagovernance-karrot.transcription,0.08063067188912479,0.0,0.005705800829469896,0.039118082241149224,0.01107759688036768,0.033945266158999086,0.02049531474370542,0.005118124306644098,0.03131255682063544,0.0,0.030385235974443186,0.039434701149904834
metagovs-new-theory-practice-project-gubbels.transcription,0.005048613681914778,0.03502828370398005,0.0,0.0,0.0,0.35205442716476215,0.0,0.01408501527114655,0.019591083320266777,0.0,0.05054058394568726,0.0
minimumviable-metagov.transcription,0.11285168646207319,0.014166136912981778,0.0,0.008351034988747298,0.0,0.05466179738489816,0.0016901249768015085,0.036800623802253685,0.0,0.0,0.04167047793228234,0.06472506215459263
modern-markets-for-all-digital-public-infrastructure-to-unlock-each-persons-economic-potential-rowan.transcription,0.009947824684793464,0.026360104722896224,0.009933480827573367,0.009167235924640759,0.004218714336048703,0.11074783872941395,0.008873563797160436,0.02222608949495323,0.08230525596851929,0.08182916308981364,0.0,0.05468003033350037
modpol-metagov.transcription,0.12718847016510693,0.0,0.02158803565635889,0.0,0.04575879884027196,0.009905514866139503,0.0,0.009620661926035516,0.0,0.0,0.08546954343018084,0.0025483778984670895
monterde-metagov-20230322.transcription,0.021679134302696263,0.0,0.009692664874714024,0.0011959163656405343,0.0,0.2718513730479693,0.0,0.0,0.00442726851989821,0.08701479631927617,0.0,0.0
muhia-metagov-20230913.transcription,0.012058423544435296,0.03688270819781685,0.0,0.009728543160448385,0.002715584902759085,0.0,0.001160297439904315,0.019084971408553076,0.01189201081200076,0.2681188100112507,0.03378528987925699,0.0
nabben-metagov.transcription,0.03600439600603151,0.005828937469322195,0.0,0.12806334500742672,0.0,0.011557717517919747,0.006888895320126369,0.10284226517243436,0.0,0.11669594253716783,0.0,0.011160600408061303
neighbourhoods-metagov.transcription,0.11575475991712879,0.0,0.02222739970089478,0.04266212970595632,0.0018706690647959069,0.0,0.0,0.11994279705212545,0.0,0.021097466374263494,0.0,0.0
new-book-blockchain-governance-filippi-reijers-mannan.transcription,0.0,0.016256491241897306,0.08943259544431183,0.1489032321747215,0.0,0.0,0.0,0.18108680686434686,0.0,0.0,0.0,0.0
ngure-metagov-20230927.transcription,0.09234692098777988,0.0014452893113406577,0.0,0.01856167411465904,0.0,0.005477306780580301,0.0,0.0,0.055627659822007465,0.06001051725207018,0.0005285792350519951,0.0
nguyen-metagov.transcription,0.007416081572936058,0.033181013901167275,0.0,0.0,0.03757142752922075,0.061148540234062736,0.009039680892561115,0.1030056748416765,0.04976617318750643,0.12674492036241738,0.0,0.04127831964300923
on-aiki-wiki-viharo.transcription,0.10463996519726355,0.06629744465904976,0.0032514021365033135,0.012202823974436285,0.0013783045013652437,0.035263178170324934,0.013532043894326627,0.0,0.0,0.0,0.02592401640977827,0.06371952853124864
on-and-off-responsibilities-in-ai-governance-week-1.transcription,0.012625386694461862,0.40641322496497423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on-and-off-responsibilities-in-ai-governance-week-3-var-shankar.transcription,0.0,0.4559198000897362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04853214758046335
on-and-off-responsibilities-in-ai-governance-week-4-elefante-baulin.transcription,0.08621288272606094,0.2675842784957624,0.0,0.0,0.04697244194128904,0.0,0.0,0.0,0.0,0.05760350227888601,0.0,0.0
on-evocracy-evolutionary-democracy-michaelis.transcription,0.04101244613868974,0.03409508660501306,0.0248991704028415,0.11356199659612604,0.0,0.20963223270251974,0.0,0.0,0.0,0.08012106416305721,0.04824645241246116,0.0
on-massive-decentralized-learning-communities-token-engineering-academy-kreitenweis.transcription,0.006431195019293966,0.027023869490167194,0.1606065771670768,0.03448624309951608,0.007865641113604507,0.0,0.0,0.0,0.051373343143328136,0.014580762714714151,0.0,0.0
on-neural-quorum-governance-liu.transcription,0.06883733027032922,0.0,0.10109756845876325,0.058194617143229425,0.0,0.1411622622150453,0.009487447063508158,0.0,0.0,0.008521667523073408,0.0,0.0
other-networks-emerson.transcription,0.01791090040405378,0.0,0.0,0.11111736533218718,0.0,0.011814106930951494,0.0,0.0,0.03148510972222888,0.038426613107110985,0.0,0.09965801631867711
ovadya-metagov.transcription,0.0,0.0,0.0,0.0,0.05549964902213049,0.4205310642159139,0.0,0.007457831960665599,0.014534602130428615,0.028147806140296293,0.0,0.0017284496274185912
pan-legitimacy-metagov.transcription,0.0,0.0,0.0,0.0010208841415818488,0.3187666166822119,0.06548999266777593,0.0,0.007471399042477189,0.0,0.0,0.0,0.0
pariser-metagov.transcription,0.1543432406244281,0.0,0.0,0.024332419904676713,0.004548961904032213,0.1255874955758612,0.0,0.034991619457021755,0.02159567674379063,0.014035620772126754,0.0,0.001712293594019924
patka-metagov.transcription,0.029266324721236563,0.0,0.3782742247333369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pescetelli-metagov.transcription,0.18880416191884802,0.008654334346265138,0.04575454729663704,0.0,0.0,0.06942967252258353,0.0,0.0,0.0,0.034568420516493226,0.06824477378775821,0.0
